PLX	impct_contr	report	Senat Id	Senat URL	cdep URL	ambig	dir	law	cln_law	impact_dir	nonrel_dir
424/2016	1	Cu impact: proiectul de lege în integralitate (sesizat în raport anterior)	['L389/21.06.2016']	https://www.senat.ro/legis/lista.aspx?nr_cls=L389&an_cls=2016	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=15633	0.0	424_2016	424_2016/- forma iniţiatorului.pdf.txt	424_2016/___clean___ - forma iniţiatorului.pdf.txt	424_2016/impact	424_2016/nonrelevant
428/2016	2	Contravine: art.  353 alin. (2)	['L187/04.04.2016']	https://www.senat.ro/legis/lista.aspx?nr_cls=L187&an_cls=2016	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=15946	0.0	428_2016	428_2016/- forma iniţiatorului.pdf.txt	428_2016/___clean___ - forma iniţiatorului.pdf.txt	428_2016/contravine	428_2016/nonrelevant
442/2017	2	"Cu impact: art. I pct. 7, 12, 16, 18, 25, 31 
CONTRAVINE: art. I pct. 7, 12, 18, 31  (sesizat în raport anterior)"	['L270/02.05.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L270&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16644	1.0	442_2017	442_2017/- forma iniţiatorului.pdf.txt	442_2017/___clean___ - forma iniţiatorului.pdf.txt	442_2017/contravine	442_2017/nonrelevant
454/2018	1	Cu impact: art I pct. 1 privind modificarea art. 4 alin. 7 (amendament Comisia transporturi si infrastructura) 	['L289/14.05.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L289&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17290	0.0	454_2018	454_2018/- Ordonanţa Guvernului.pdf.txt	454_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	454_2018/impact	454_2018/nonrelevant
505/2018	1	Cu impact - art I pct. 13, 13^1, 16^1, 16^2 amendamente	['L414/03.07.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L414&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17338	0.0	505_2018	505_2018/- Ordonanţa Guvernului.pdf.txt	505_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	505_2018/impact	505_2018/nonrelevant
506/2018	2	CONTRAVINE: art. 8 alin. (2) și alin. (9), art. 21 alin. (4) lit. g) pct. i) (sesizat în raport anterior)	['L347/04.06.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L347&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17343	1.0	506_2018	506_2018/- forma iniţiatorului.pdf.txt	506_2018/___clean___ - forma iniţiatorului.pdf.txt	506_2018/contravine	506_2018/nonrelevant
509/2018	2	CONTRAVINE: art. 1 pct. 9, 16, 18	['L345/04.06.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L345&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17347	1.0	509_2018	509_2018/- forma iniţiatorului.pdf.txt	509_2018/___clean___ - forma iniţiatorului.pdf.txt	509_2018/contravine	509_2018/nonrelevant
520/2017	1	Cu impact: art 3 alin. (2) 	['L303/04.09.2017']	https://www.senat.ro/legis/lista.aspx?nr_cls=L303&an_cls=2017	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16714	0.0	520_2017	520_2017/- forma iniţiatorului.pdf.txt	520_2017/___clean___ - forma iniţiatorului.pdf.txt	520_2017/impact	520_2017/nonrelevant
546/2018	1	Cu impact: art. unic pct. 3 din O.U.G. nr. 64/2018	['L471/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L471&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17387	0.0	546_2018	546_2018/- Ordonanţa Guvernului.pdf.txt	546_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	546_2018/Impact	546_2018/nonrelevant
547/2014	1	Cu impact: art 16	['L372/02.06.2014']	https://www.senat.ro/legis/lista.aspx?nr_cls=L372&an_cls=2014	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=14503	0.0	547_2014	547_2014/- forma iniţiatorului.pdf.txt	547_2014/___clean___ - forma iniţiatorului.pdf.txt	547_2014/Impact	547_2014/nonrelevant
55/2019	1	Cu impact: art. IV alin. (1^1) si alin. (1^2) din OUG nr. 107/2018	['L730/2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L730&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17657	0.0	55_2019	55_2019/- Ordonanţa Guvernului.pdf.txt	55_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	55_2019/impact	55_2019/nonrelevant
550/2018	1	Cu impact: art. I pct. 6 (sesizat în raport anterior)	['L476/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L476&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17391	0.0	550_2018	550_2018/- Ordonanţa Guvernului.pdf.txt	550_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	550_2018/Impact	550_2018/nonrelevant
565/2017	2	CONTRAVINE: proiectul de lege în integralitate (sesizat în raport anterior)	['L 348/2017']	https://www.senat.ro/legis/lista.aspx?nr_cls=L348&an_cls=2017	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16730	0.0	565_2017	565_2017/- forma iniţiatorului.pdf.txt	565_2017/___clean___ - forma iniţiatorului.pdf.txt	565_2017/contravine	565_2017/nonrelevant
57/2018	1	Cu impact: art. 1 alin. (3), art. 4 alin. (3) si (5), art 19. alin (2)	['L507/27.11.2017']	https://www.senat.ro/legis/lista.aspx?nr_cls=L507&an_cls=2017	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16878	0.0	57_2018	57_2018/- forma iniţiatorului.pdf.txt	57_2018/___clean___ - forma iniţiatorului.pdf.txt	57_2018/impact	57_2018/nonrelevant
574/2018	1	Cu impact: art. 24 alin. (1), art. 37 alin. (1) și (2) (sesizat în raport anterior)	['L410/03.07.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L410&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17401	0.0	574_2018	574_2018/- forma iniţiatorului.pdf.txt	574_2018/___clean___ - forma iniţiatorului.pdf.txt	574_2018/impact	574_2018/nonrelevant
575/2018	1	Cu impact: art. 6 alin. (2), art. 51 alin. (5), (6) și (8), art. 67 alin. (1) (sesizat în raport anterior)	['L393/25.06.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L393&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17415	0.0	575_2018	575_2018/- forma iniţiatorului.pdf.txt	575_2018/___clean___ - forma iniţiatorului.pdf.txt	575_2018/impact	575_2018/nonrelevant
581/2018	1	Cu impact: anexa la O.U.G. nr. 92/2011 care se modifica (sesizat în raport anterior)	['L455/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L455&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17424	0.0	581_2018	581_2018/- Ordonanţa Guvernului.pdf.txt	581_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	581_2018/impact	581_2018/nonrelevant
59/2018	2	CONTRAVINE:  Introducerea unei noi sectiuni, Sectiunea a 6-a: Stabilirea garantiilor, cuprinzand articolele 67¹-67⁸, dupa Sectiunea a 5-a a Capitolului II. (sesizat în raport anterior)	['L 59/2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L59&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16858	0.0	59_2018	59_2018/- forma iniţiatorului.pdf.txt	59_2018/___clean___ - forma iniţiatorului.pdf.txt	59_2018/contravine	59_2018/nonrelevant
591/2018	1	Cu impact: pct. 8 din  amendamente 	['L466/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L466&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17434	0.0	591_2018	591_2018/- Ordonanţa Guvernului.pdf.txt	591_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	591_2018/impact	591_2018/nonrelevant
638/2018	1	Cu impact: OUG nr. 76/2018 care se aprobă (sesizat la verificare acte normative în Senat)	['L483/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L483&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17469	0.0	638_2018	638_2018/- Ordonanţa Guvernului.pdf.txt	638_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	638_2018/impact	638_2018/nonrelevant
654/2018	1	Cu impact: art. 19	['L576/11.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L576&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17476	0.0	654_2018	654_2018/- forma iniţiatorului.pdf.txt	654_2018/___clean___ - forma iniţiatorului.pdf.txt	654_2018/impact	654_2018/nonrelevant
681/2018	2	CONTRAVINE: Articol unic care modifică art. 27 din Legea nr. 350/2005 (sesizat în raport anterior)	['L547/04.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L547&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17180	0.0	681_2018	681_2018/- forma iniţiatorului.pdf.txt	681_2018/___clean___ - forma iniţiatorului.pdf.txt	681_2018/contravine	681_2018/nonrelevant
685/2018	2	"Cu impact: art. I pct. 2, 9, 15, 30, 31 
CONTRAVINE: art. I pct. 9, 15, 30, 31 (sesizat la verificare acte normative în Senat)"	['L101/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L101&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17507	0.0	685_2018	685_2018/- forma iniţiatorului.pdf.txt	685_2018/___clean___ - forma iniţiatorului.pdf.txt	685_2018/contravine	685_2018/nonrelevant
7/2019	1	Cu impact: art. 3 din OUG 97/2018	['L678/19.11.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L678&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17612	0.0	7_2019	7_2019/- Ordonanţa Guvernului.pdf.txt	7_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	7_2019/impact	7_2019/nonrelevant
720/2018	1	Cu impact: art. I pct. 20 privind completarea art. 58 cu alin. (6) şi (7) (prevederi neclare) şi art. 21 privind art. 58^1 alin. (9) 	[]	0	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17553	0.0	720_2018	720_2018/Forma iniţiatorului.pdf.txt	720_2018/___clean___ Forma iniţiatorului.pdf.txt	720_2018/impact	720_2018/nonrelevant
722/2018	1	Cu impact: art. 1 pct. 2 din OUG care se aproba	['L631/29.10.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L631&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17555	0.0	722_2018	722_2018/- Ordonanţa Guvernului.pdf.txt	722_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	722_2018/impact	722_2018/nonrelevant
734/2018	1	Cu impact: art. 1 pct. 12 si 47	['L573/11.09.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L573&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17575	0.0	734_2018	734_2018/- forma iniţiatorului.pdf.txt	734_2018/___clean___ - forma iniţiatorului.pdf.txt	734_2018/impact	734_2018/nonrelevant
739/2018	1	Cu impact: art 68 (sesizat în raport anterior)	['L624/15.10.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L624&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17585	0.0	739_2018	739_2018/- forma iniţiatorului.pdf.txt	739_2018/___clean___ - forma iniţiatorului.pdf.txt	739_2018/impact	739_2018/nonrelevant
743/2018	1	Cu impact: art. I pct. 14, 30, 31 	['L634/05.11.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L634&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17586	0.0	743_2018	743_2018/- forma iniţiatorului.pdf.txt	743_2018/___clean___ - forma iniţiatorului.pdf.txt	743_2018/impact	743_2018/nonrelevant
77/2019	1	Cu impact: art. I pct. 22, 24 	[]	0	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17697	0.0	77_2019	77_2019/Forma iniţiatorului.pdf.txt	77_2019/___clean___ Forma iniţiatorului.pdf.txt	77_2019/impact	77_2019/nonrelevant
81/2018	1	Cu impact: art. I pct. 27	['L422/06.11.2017']	https://www.senat.ro/legis/lista.aspx?nr_cls=L422&an_cls=2017	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16890	0.0	81_2018	81_2018/- forma iniţiatorului.pdf.txt	81_2018/___clean___ - forma iniţiatorului.pdf.txt	81_2018/Impact	81_2018/nonrelevant
82/2019	1	Cu impact:  art. 2 lit. a), art. 4 alin. (5), art 5 alin. (2), art. 9 alin. (3), (4), art 11 alin. (1) lit. c) din O.U.G. nr.112/2018	['L9/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L9&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17685	0.0	82_2019	82_2019/- Ordonanţa Guvernului.pdf.txt	82_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	82_2019/impact	82_2019/nonrelevant
93/2019	1	Cu impact: propunerea de completare a art. 71 din O.U.G. nr. 114/2018 cu alin. (3) 	['L11/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L11&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17708	0.0	93_2019	93_2019/- Ordonanţa Guvernului.pdf.txt	93_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	93_2019/impact	93_2019/nonrelevant
